Date, Close/Last, Volume, Open, High, Low
3/10/2020,$25.06 ,11114450,$26.04 ,$26.10 ,$23.60 
3/9/2020,$24.89 ,10489150,$24.33 ,$25.05 ,$23.13 
3/6/2020,$26.42 ,17042090,$28.78 ,$29.19 ,$25.25 
3/5/2020,$28.39 ,20713830,$27.10 ,$30.47 ,$27 
3/4/2020,$27.80 ,7931775,$27 ,$27.81 ,$26.73 
3/3/2020,$26.92 ,8929896,$27.09 ,$27.27 ,$26.11 
3/2/2020,$27.21 ,9163811,$27.71 ,$27.71 ,$26.01 
2/28/2020,$27.02 ,9927870,$25.25 ,$27.04 ,$25.14 
2/27/2020,$26.22 ,8731474,$25.58 ,$27.08 ,$25.09 
2/26/2020,$26.61 ,7580207,$27.42 ,$27.70 ,$26.15 
2/25/2020,$26.75 ,11124630,$28.06 ,$28.30 ,$26.22 
2/24/2020,$27.92 ,11519520,$27.08 ,$28.38 ,$26.34 
2/21/2020,$28.44 ,18561010,$29.67 ,$29.70 ,$27.70 
2/20/2020,$27.49 ,10114790,$27.57 ,$28.08 ,$26.52 
2/19/2020,$27.50 ,7218983,$27.84 ,$28.34 ,$27.41 
2/18/2020,$27.58 ,14614220,$28.10 ,$29.37 ,$27.32 
2/14/2020,$27.99 ,17914540,$27 ,$28.38 ,$26.62 
2/13/2020,$26.55 ,9858935,$25.45 ,$26.66 ,$25.26 
2/12/2020,$25.81 ,9891652,$26.05 ,$26.37 ,$24.87 
2/11/2020,$25.98 ,22224030,$24.55 ,$26.03 ,$24.33 
2/10/2020,$26.54 ,61005950,$23.12 ,$27.89 ,$23 
2/7/2020,$22.99 ,4734953,$22.61 ,$23.07 ,$22.50 
2/6/2020,$22.65 ,7972435,$23.40 ,$23.48 ,$22.54 
2/5/2020,$23.31 ,12429010,$23.36 ,$23.66 ,$22.53 
2/4/2020,$23.25 ,20621060,$21.55 ,$23.59 ,$21.55 
2/3/2020,$20.98 ,6471885,$20.78 ,$21.10 ,$20.27 
1/31/2020,$20.73 ,5398811,$20.51 ,$20.78 ,$20.20 
1/30/2020,$20.64 ,6295298,$20.62 ,$20.73 ,$20.11 
1/29/2020,$20.80 ,7147264,$21.22 ,$21.27 ,$20.48 
1/28/2020,$20.98 ,8438194,$20.57 ,$21.18 ,$20.41 
1/27/2020,$20.06 ,9400441,$20.05 ,$20.50 ,$19.80 
1/24/2020,$20.59 ,9070499,$21.47 ,$21.80 ,$20.56 
1/23/2020,$21.22 ,8072998,$22.24 ,$22.29 ,$21.21 
1/22/2020,$22.14 ,3963955,$22.50 ,$22.75 ,$22.13 
1/21/2020,$22.31 ,5275884,$22.48 ,$22.68 ,$22.06 
1/17/2020,$22.46 ,9408681,$23.19 ,$23.24 ,$22.17 
1/16/2020,$22.97 ,6968278,$22.55 ,$23.30 ,$22.55 
1/15/2020,$22.33 ,7991924,$22.40 ,$23.23 ,$22.22 
1/14/2020,$22.28 ,10474500,$22.94 ,$22.94 ,$21.91 
1/13/2020,$23.20 ,5838692,$23.19 ,$23.51 ,$22.82 
1/10/2020,$23.12 ,5637093,$23.35 ,$23.44 ,$22.76 
1/9/2020,$23.17 ,11311850,$23.77 ,$23.96 ,$22.50 
1/8/2020,$23.77 ,7524125,$23.61 ,$24.26 ,$23.25 
1/7/2020,$23.83 ,10046420,$23.53 ,$23.95 ,$23.22 
1/6/2020,$23.52 ,12537610,$22.32 ,$23.66 ,$22.16 
1/3/2020,$22.46 ,6770915,$22.50 ,$22.92 ,$22.38 
1/2/2020,$23.02 ,11670360,$22.32 ,$23.16 ,$22.14 
12/31/2019,$22.48 ,6060725,$21.89 ,$22.50 ,$21.89 
12/30/2019,$22.21 ,8528453,$22.16 ,$22.37 ,$21.63 
12/27/2019,$22 ,4877817,$22.05 ,$22.08 ,$21.61 
12/26/2019,$22 ,5460288,$21.42 ,$22.01 ,$21.32 
12/24/2019,$21.35 ,2890314,$21.50 ,$21.52 ,$21.26 
12/23/2019,$21.53 ,6929876,$21.23 ,$21.76 ,$21.10 
12/20/2019,$21.51 ,9842381,$21.20 ,$21.52 ,$20.89 
12/19/2019,$21.23 ,9009312,$21.06 ,$21.49 ,$20.93 
12/18/2019,$21.13 ,10774540,$20.51 ,$21.48 ,$20.15 
12/17/2019,$20.71 ,10504270,$21.53 ,$21.69 ,$20.58 
12/16/2019,$21.41 ,9160500,$21.70 ,$21.93 ,$21.34 
12/13/2019,$21.39 ,8055418,$20.92 ,$21.45 ,$20.67 
12/12/2019,$20.90 ,10764010,$20.81 ,$20.97 ,$20.20 
12/11/2019,$20.75 ,21995410,$21.75 ,$21.95 ,$20.59 
12/10/2019,$22.25 ,10079860,$22.52 ,$22.91 ,$22.12 
12/9/2019,$23 ,9313917,$22.39 ,$23.07 ,$22.29 
12/6/2019,$22.50 ,17889090,$22.46 ,$23.14 ,$22.11 
12/5/2019,$22.78 ,34210450,$22.20 ,$22.83 ,$20.67 
12/4/2019,$21.66 ,16813800,$22.21 ,$22.65 ,$21.51 
12/3/2019,$22.57 ,5825335,$21.76 ,$22.68 ,$21.45 
12/2/2019,$22.51 ,9373444,$22.83 ,$22.83 ,$20.92 
11/29/2019,$22.82 ,3146043,$22.59 ,$23.35 ,$22.52 
11/27/2019,$22.62 ,3773421,$22.10 ,$22.68 ,$22.05 
11/26/2019,$22.09 ,3913980,$22.33 ,$22.85 ,$21.86 
11/25/2019,$22.50 ,7344600,$21.34 ,$22.62 ,$21.25 
11/22/2019,$21.17 ,4373472,$21 ,$21.39 ,$20.96 
11/21/2019,$21 ,6826937,$21.50 ,$22.05 ,$20.94 
11/20/2019,$21.70 ,6533144,$20.71 ,$21.86 ,$20.68 
11/19/2019,$21.18 ,16135210,$22.35 ,$22.35 ,$20.64 
11/18/2019,$23.11 ,10135400,$22.64 ,$23.55 ,$22.43 
11/15/2019,$22.86 ,10680280,$21.65 ,$23.10 ,$21.47 
11/14/2019,$21.69 ,7650556,$21.05 ,$21.72 ,$20.90 
11/13/2019,$21.30 ,5444447,$20.60 ,$21.38 ,$20.60 
11/12/2019,$20.70 ,6743814,$20.05 ,$20.80 ,$19.53 
11/11/2019,$20.13 ,4529347,$20.16 ,$20.35 ,$19.92 
11/8/2019,$20.50 ,9419555,$19.69 ,$20.50 ,$19.69 
11/7/2019,$20.34 ,7787144,$20 ,$20.55 ,$19.83 
11/6/2019,$20.14 ,8829443,$20.78 ,$20.95 ,$20.10 
11/5/2019,$20.75 ,7164970,$22 ,$22.16 ,$20.71 
11/4/2019,$21.94 ,6393951,$21.92 ,$22.26 ,$21.61 
11/1/2019,$21.94 ,5766481,$21.94 ,$22.18 ,$21.48 
10/31/2019,$22 ,5726041,$22.96 ,$23.23 ,$21.79 
10/30/2019,$23.25 ,9835497,$22.55 ,$23.27 ,$22.01 
10/29/2019,$22.50 ,11331810,$21.65 ,$22.78 ,$21.25 
10/28/2019,$21.47 ,13186650,$20.51 ,$21.64 ,$19.86 
10/25/2019,$20.46 ,9752459,$20.75 ,$21.33 ,$20.22 
10/24/2019,$20.98 ,10310310,$20.95 ,$21.48 ,$20.51 
10/23/2019,$20.84 ,7713792,$20.73 ,$21.48 ,$20.67 
10/22/2019,$21.03 ,11307730,$22.52 ,$22.58 ,$20.91 
10/21/2019,$22.58 ,8555712,$21.93 ,$22.74 ,$21.87 
10/18/2019,$21.81 ,20234750,$23.50 ,$23.60 ,$21.44 
10/17/2019,$24 ,6638367,$23.17 ,$24 ,$22.93 
10/16/2019,$23.64 ,14606710,$23.09 ,$23.80 ,$22.69 
10/15/2019,$24.74 ,6009322,$24.59 ,$24.98 ,$24.26 
10/14/2019,$24.62 ,8251574,$25.23 ,$25.54 ,$24.52 
10/11/2019,$25.99 ,15142030,$24.50 ,$26.36 ,$24.35 
10/10/2019,$23.82 ,11664050,$24.30 ,$24.84 ,$23.27 
10/9/2019,$24.57 ,9873825,$25.51 ,$25.59 ,$24.41 
10/8/2019,$25.70 ,8046034,$25.83 ,$26.40 ,$25.07 
10/7/2019,$26.05 ,7770881,$24.62 ,$26.28 ,$24.57 
10/4/2019,$24.97 ,6679383,$25.10 ,$25.21 ,$24.23 
10/3/2019,$24.93 ,16885910,$23.34 ,$25.42 ,$22.53 
10/2/2019,$23.43 ,6661314,$22.27 ,$23.49 ,$22.12 
10/1/2019,$22.87 ,8560162,$24.07 ,$24.07 ,$22.61 
9/30/2019,$23.73 ,12221010,$22.75 ,$24.41 ,$22.26 
9/27/2019,$22.06 ,6358342,$22.51 ,$22.76 ,$21.25 
9/26/2019,$22.63 ,5578801,$22.41 ,$22.94 ,$21.96 
9/25/2019,$22.73 ,13062400,$23 ,$23.24 ,$21.43 
9/24/2019,$23.20 ,10613740,$23.90 ,$24.41 ,$23.02 
9/23/2019,$24.16 ,13389790,$25.21 ,$25.25 ,$23.70 
9/20/2019,$25.37 ,9451624,$25.85 ,$26.10 ,$25.05 
9/19/2019,$25.72 ,6480172,$25.82 ,$25.96 ,$24.99 
9/18/2019,$25.71 ,5513352,$26.26 ,$26.75 ,$24.94 
9/17/2019,$26.22 ,8067807,$26 ,$27.41 ,$25.78 
9/16/2019,$26.10 ,8264550,$24.25 ,$26.21 ,$24.20 
9/13/2019,$24.49 ,6592316,$25.62 ,$25.70 ,$24.36 
9/12/2019,$25.62 ,5540857,$25.55 ,$25.90 ,$25 
9/11/2019,$25.25 ,7759247,$26.26 ,$26.26 ,$25.15 
9/10/2019,$26.75 ,15140220,$24.81 ,$26.86 ,$24.50 
9/9/2019,$24.92 ,29281830,$27.58 ,$27.60 ,$23.93 
9/6/2019,$27.38 ,15019190,$29.75 ,$29.98 ,$27.30 
9/5/2019,$30.01 ,43992920,$26.47 ,$31.21 ,$26 
9/4/2019,$31.07 ,14973090,$29.24 ,$31.28 ,$28.94 
9/3/2019,$28.76 ,6061256,$28.39 ,$29.22 ,$27.91 
8/30/2019,$28.64 ,4674989,$29.94 ,$30.21 ,$28.25 
8/29/2019,$29.98 ,3373628,$30 ,$30.19 ,$29.36 
8/28/2019,$29.80 ,5236290,$29.59 ,$29.80 ,$28.50 
8/27/2019,$29.91 ,3279915,$31.21 ,$31.27 ,$29.66 
8/26/2019,$30.97 ,3692400,$30.34 ,$31.14 ,$30.22 
8/23/2019,$30.05 ,3989862,$30.52 ,$30.64 ,$29.97 
8/22/2019,$30.55 ,4962386,$32.19 ,$32.48 ,$30.19 
8/21/2019,$30.80 ,2075764,$30.64 ,$31.39 ,$30.44 
8/20/2019,$30.50 ,2228530,$31.09 ,$31.10 ,$30.31 
8/19/2019,$31.14 ,2874617,$30.57 ,$31.50 ,$30.30 
8/16/2019,$30 ,2615030,$30.32 ,$30.36 ,$29.91 
8/15/2019,$30.16 ,2434846,$30.08 ,$30.75 ,$30.01 
8/14/2019,$30.76 ,3234360,$30.52 ,$30.81 ,$29.92 
8/13/2019,$31.25 ,2151679,$30.83 ,$31.79 ,$30.75 
8/12/2019,$31.17 ,2813812,$30.46 ,$32.13 ,$30.24 
8/9/2019,$30.78 ,1713135,$31.23 ,$31.45 ,$30.64 
8/8/2019,$31.53 ,1728016,$30.92 ,$31.67 ,$30.63 
8/7/2019,$30.77 ,2301209,$30.19 ,$31.08 ,$30.05 
8/6/2019,$30.84 ,3940339,$31.48 ,$32.23 ,$30.73 
8/5/2019,$31.39 ,5923135,$29.38 ,$31.43 ,$29.10 
8/2/2019,$30.87 ,5259904,$31.80 ,$31.85 ,$30.77 
8/1/2019,$32 ,5374384,$33.30 ,$33.33 ,$31.93 
7/31/2019,$33.42 ,3539575,$32.82 ,$34 ,$32.80 
7/30/2019,$32.58 ,2808373,$32.59 ,$32.80 ,$32.14 
7/29/2019,$33.01 ,5056375,$34.10 ,$34.13 ,$32.50 
7/26/2019,$34.09 ,4356685,$33.72 ,$34.21 ,$33.33 
7/25/2019,$33.72 ,3482975,$34.17 ,$34.30 ,$33.53 
7/24/2019,$34.10 ,3780718,$34.02 ,$34.16 ,$33.21 
7/23/2019,$33.94 ,7629350,$33.60 ,$34.94 ,$33.45 
7/22/2019,$33.25 ,3857517,$31.23 ,$33.35 ,$31.18 
7/19/2019,$31.30 ,5727684,$32.05 ,$32.95 ,$31.22 
7/18/2019,$32 ,6851603,$33.40 ,$33.54 ,$31.93 
7/17/2019,$33.46 ,4468774,$34.78 ,$35 ,$33.40 
7/16/2019,$34.40 ,5821533,$34.57 ,$35.15 ,$34.20 
7/15/2019,$34.75 ,8528403,$34 ,$35.21 ,$33.94 
7/12/2019,$33.73 ,14968040,$34.67 ,$34.99 ,$33.37 
7/11/2019,$35 ,4449661,$35.05 ,$35.50 ,$34.90 
7/10/2019,$35.19 ,4986511,$35.60 ,$36.44 ,$34.98 
7/9/2019,$35.64 ,4400143,$34.63 ,$35.66 ,$34.46 
7/8/2019,$35 ,4238393,$35.15 ,$35.54 ,$34.95 
7/5/2019,$35.52 ,3437681,$35.80 ,$36.10 ,$35.46 
7/3/2019,$36 ,3170712,$36.28 ,$36.46 ,$35.80 
7/2/2019,$36.55 ,3193328,$36.11 ,$36.99 ,$35.76 
7/1/2019,$36.55 ,9390075,$38.18 ,$38.44 ,$35.94 
6/28/2019,$37.50 ,8709035,$36.73 ,$37.50 ,$36.25 
6/27/2019,$36.25 ,11298620,$37.77 ,$38.22 ,$36.20 
6/26/2019,$37.19 ,19132540,$36.21 ,$37.60 ,$35.85 
6/25/2019,$35.20 ,10116580,$35.19 ,$36.14 ,$34.81 
6/24/2019,$35.76 ,16944500,$36.32 ,$36.97 ,$35.35 
6/21/2019,$37.22 ,42874130,$38.88 ,$40.25 ,$36.60 
6/20/2019,$38.62 ,137364200,$38.50 ,$42 ,$38.25 
