FIPS,County,Population,COMA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
39001,Adams,28550,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,
39003,Allen,106331,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,6,10,,,18,
39005,Ashland,53139,F,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,3,,,3,
39007,Ashtabula,101497,F,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,5,6,6,6,6,6,8,,,12,
39009,Athens,64757,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,,,3,
39011,Auglaize,45949,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,,,6,
39013,Belmont,70400,F,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,6,8,8,8,9,11,12,,,20,
39015,Brown,44846,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,,,3,
39017,Butler,368130,F,0,0,0,0,0,1,4,6,6,6,8,8,12,16,17,17,18,18,21,23,25,27,30,36,41,45,,,68,
39019,Carroll,28836,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,4,5,5,5,5,,,6,
39021,Champaign,40097,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,4,,,5,
39023,Clark,138333,F,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,7,6,6,6,7,,,8,
39025,Clermont,197363,F,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,6,6,8,8,9,10,11,14,,,21,
39027,Clinton,42040,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,5,,,8,
39029,Columbiana,107841,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,7,9,11,11,15,19,22,,,42,
39031,Coshocton,36901,F,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,7,8,,,9,
39033,Crawford,43784,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,5,5,5,6,,,9,
39035,Cuyahoga,1249352,F,0,3,3,3,3,6,11,14,24,31,38,53,69,92,125,149,167,206,259,330,370,440,493,527,589,663,,,826,
39037,Defiance,39037,F,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,5,5,6,6,,,7,
39039,Delaware,174214,T,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,7,11,12,15,20,26,31,38,40,47,50,,,70,
39041,Drake,52959,F,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,12,13,22,22,,,32,
39043,Erie,77079,F,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,5,5,5,5,5,5,,,8,
39045,Fairfield,146156,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,8,14,14,13,14,22,28,,,46,
39047,Fayette,29030,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,2,
39049,Franklin,1264518,T,0,0,0,0,0,0,1,3,3,4,7,10,14,21,34,44,75,88,108,152,222,247,281,325,391,441,,,597,
39051,Fulton,42698,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,,,5,
39053,Gallia,30934,F,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,4,
39055,Geauga,93389,F,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,5,4,7,10,14,17,22,24,25,33,,,38,
39057,Greene,161573,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,6,8,8,,,13,
39059,Guernsey,40087,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
39061,Hamilton,802374,F,0,0,0,0,0,0,0,0,0,0,0,1,7,8,19,26,38,48,53,63,71,85,101,124,154,178,,,319,
39063,Hancock,74782,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,5,6,8,,,11,
39065,Hardin,32058,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,
39067,Harrison,15864,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39069,Henry,28215,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39071,Highland,43589,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,3,,,4,
39073,Hocking,29380,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39075,Holmes,42366,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,1,
39077,Huron,59626,F,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,,,6,
39079,Jackson,33225,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39081,Jefferson,69709,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,7,11,11,13,,,14,
39083,Knox,60921,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,4,5,,,7,
39085,Lake,230041,F,0,0,0,0,0,0,0,0,0,1,2,2,3,4,6,8,11,14,19,27,30,35,43,44,48,62,,,79,
39087,Lawerence,62450,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,,8,
39089,Licking ,166492,T,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,10,14,15,21,25,24,30,,,55,
39091,Logan,45858,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,,,5,
39093,Lorain,301356,F,0,0,0,0,0,0,1,2,3,4,6,6,10,14,19,24,30,37,44,56,65,74,78,82,85,90,,,110,
39095,Lucas,441815,F,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5,9,11,23,35,48,67,94,114,133,171,206,,,302,
39097,Madison,43435,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,5,7,9,11,,,17,
39099,Mahoning,43435,F,0,0,0,0,0,0,0,0,0,1,1,3,7,14,18,23,38,42,51,68,80,84,117,153,177,192,,,261,
39101,Marion,66501,F,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,5,5,6,7,8,9,10,,,19,
39103,Medina,176395,F,0,0,0,0,0,0,0,1,2,3,4,5,6,9,10,15,15,22,24,32,37,45,48,55,59,68,,,78,
39105,Meigs,23770,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39107,Mercer,40814,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,4,5,,,7,
39109,Miami,102506,F,0,0,0,0,0,0,0,0,0,0,0,1,1,11,13,17,19,19,20,32,38,43,46,52,60,62,,,76,
39111,Monroe,14642,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,
39113,Montgomery,535153,F,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,7,10,14,14,19,20,25,31,37,41,49,,,84,
39115,Morgan,15054,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39117,Morrow,34827,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,5,
39119,Muskingum,86074,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,,,4,
39121,Noble,14645,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39123,Ottawa,41428,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,,,5,
39125,Paulding,19614,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39127,Perry,36058,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,3,
39129,Pickaway,55698,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,5,12,12,11,,,29,
39131,Pike,28709,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,1,
39133,Portage,161419,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,8,13,19,27,32,38,44,59,,,84,
39135,Preble,42270,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,5,
39137,Putnam,34499,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39139,Richland,124475,F,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,3,4,5,5,5,6,8,8,,,17,
39141,Ross,78064,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,,,4,
39143,Sandusky,60944,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,5,5,5,5,5,
39145,Scioto,79499,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39147,Seneca,56745,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,4,,,6,
39149,Shelby,49423,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,6,6,,,12,
39151,Stark,375586,F,0,0,0,1,1,2,3,3,3,3,3,5,6,8,10,12,13,12,16,22,25,29,44,45,52,67,,,95,
39153,Summit,541781,F,0,0,0,0,0,1,2,2,2,4,4,6,10,15,23,28,38,43,50,65,79,99,118,131,144,155,,,184,
39155,Trumbull,210312,F,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,4,9,12,17,27,36,42,50,58,63,,,89,
39157,Tuscarawas,92582,F,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,5,5,7,9,14,16,,,20,
39159,Union,52300,T,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,4,4,4,4,,,8,
39161,Van Wert,28744,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,
39163,Vinton,13435,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39165,Warren,212693,F,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,7,8,10,11,16,20,20,21,23,26,,,36,
39167,Washington,61778,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,4,,,8,
39169,Wayne,114520,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,7,9,11,11,,,26,
39171,Williams,37642,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
39173,Wood,125488,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,6,8,10,12,13,15,15,18,,,29,
39175,Wyandot ,22615,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,,,5,
